,method,error_test,subproblem,subproblem_id,dataset_id,num_boost_round
165,Vanilla,0.47237648755860073,classification,2,3,64
166,LASSO (Saabas),0.47671114316624597,classification,2,3,64
167,LASSO (Shap),0.48608727010457986,classification,2,3,64
168,Vanilla,0.22226284444332123,regression,1,0,1
169,LASSO (Saabas),0.4119940400123596,regression,1,0,1
170,LASSO (Shap),0.41267484426498413,regression,1,0,1
171,Vanilla,0.18691886961460114,regression,1,0,2
172,LASSO (Saabas),0.3593575954437256,regression,1,0,2
173,LASSO (Shap),0.3623725473880768,regression,1,0,2
174,Vanilla,0.16287405788898468,regression,1,0,4
175,LASSO (Saabas),0.2954310476779938,regression,1,0,4
176,LASSO (Shap),0.30238962173461914,regression,1,0,4
177,Vanilla,0.15922243893146515,regression,1,0,8
178,LASSO (Saabas),0.2418636679649353,regression,1,0,8
179,LASSO (Shap),0.24564528465270996,regression,1,0,8
180,Vanilla,0.1638711839914322,regression,1,0,16
181,LASSO (Saabas),0.20933637022972107,regression,1,0,16
182,LASSO (Shap),0.2114652544260025,regression,1,0,16
183,Vanilla,0.1710858941078186,regression,1,0,32
184,LASSO (Saabas),0.1932523548603058,regression,1,0,32
185,LASSO (Shap),0.19938169419765472,regression,1,0,32
186,Vanilla,0.1770654320716858,regression,1,0,64
187,LASSO (Saabas),0.19084246456623077,regression,1,0,64
188,LASSO (Shap),0.19442173838615417,regression,1,0,64
189,Vanilla,0.11612625420093536,regression,1,1,1
190,LASSO (Saabas),0.309268981218338,regression,1,1,1
191,LASSO (Shap),0.31008678674697876,regression,1,1,1
192,Vanilla,0.08845590054988861,regression,1,1,2
193,LASSO (Saabas),0.26155707240104675,regression,1,1,2
194,LASSO (Shap),0.26137810945510864,regression,1,1,2
195,Vanilla,0.06823160499334335,regression,1,1,4
196,LASSO (Saabas),0.2021157592535019,regression,1,1,4
197,LASSO (Shap),0.20337247848510742,regression,1,1,4
198,Vanilla,0.062497079372406006,regression,1,1,8
199,LASSO (Saabas),0.15100038051605225,regression,1,1,8
200,LASSO (Shap),0.15166735649108887,regression,1,1,8
201,Vanilla,0.06434211879968643,regression,1,1,16
202,LASSO (Saabas),0.11976510286331177,regression,1,1,16
203,LASSO (Shap),0.11888182163238525,regression,1,1,16
204,Vanilla,0.06630995869636536,regression,1,1,32
205,LASSO (Saabas),0.10470283031463623,regression,1,1,32
206,LASSO (Shap),0.10403591394424438,regression,1,1,32
207,Vanilla,0.06878402084112167,regression,1,1,64
208,LASSO (Saabas),0.09987643361091614,regression,1,1,64
209,LASSO (Shap),0.09862986207008362,regression,1,1,64
210,Vanilla,0.14963820576667786,regression,1,2,1
211,LASSO (Saabas),0.34094274044036865,regression,1,2,1
212,LASSO (Shap),0.34379860758781433,regression,1,2,1
213,Vanilla,0.11558935046195984,regression,1,2,2
214,LASSO (Saabas),0.29568004608154297,regression,1,2,2
215,LASSO (Shap),0.29281583428382874,regression,1,2,2
216,Vanilla,0.09123233705759048,regression,1,2,4
217,LASSO (Saabas),0.2264842391014099,regression,1,2,4
218,LASSO (Shap),0.22960467636585236,regression,1,2,4
219,Vanilla,0.08595585823059082,regression,1,2,8
220,LASSO (Saabas),0.16811315715312958,regression,1,2,8
221,LASSO (Shap),0.1731596440076828,regression,1,2,8
222,Vanilla,0.08726801723241806,regression,1,2,16
223,LASSO (Saabas),0.13553093373775482,regression,1,2,16
224,LASSO (Shap),0.13788098096847534,regression,1,2,16
225,Vanilla,0.08999325335025787,regression,1,2,32
226,LASSO (Saabas),0.12217220664024353,regression,1,2,32
227,LASSO (Shap),0.12586240470409393,regression,1,2,32
228,Vanilla,0.09205453097820282,regression,1,2,64
229,LASSO (Saabas),0.11722427606582642,regression,1,2,64
230,LASSO (Shap),0.12109699100255966,regression,1,2,64
231,Vanilla,0.2210729569196701,regression,1,3,1
232,LASSO (Saabas),0.7902023196220398,regression,1,3,1
233,LASSO (Shap),0.43206334114074707,regression,1,3,1
234,Vanilla,0.20247429609298706,regression,1,3,2
235,LASSO (Saabas),0.3988894522190094,regression,1,3,2
236,LASSO (Shap),0.3905090391635895,regression,1,3,2
237,Vanilla,0.18874068558216095,regression,1,3,4
238,LASSO (Saabas),0.35287028551101685,regression,1,3,4
239,LASSO (Shap),0.34496620297431946,regression,1,3,4
240,Vanilla,0.18737497925758362,regression,1,3,8
241,LASSO (Saabas),0.3132273852825165,regression,1,3,8
242,LASSO (Shap),0.30658140778541565,regression,1,3,8
243,Vanilla,0.19168466329574585,regression,1,3,16
244,LASSO (Saabas),0.2915091812610626,regression,1,3,16
245,LASSO (Shap),0.27940118312835693,regression,1,3,16
246,Vanilla,0.1985713094472885,regression,1,3,32
247,LASSO (Saabas),0.2580536901950836,regression,1,3,32
248,LASSO (Shap),0.258725106716156,regression,1,3,32
249,Vanilla,0.20575764775276184,regression,1,3,64
250,LASSO (Saabas),0.25442788004875183,regression,1,3,64
251,LASSO (Shap),0.25627920031547546,regression,1,3,64
252,Vanilla,4.874046802520752,regression,2,0,1
