,method,auc_noisy,elapsed,subproblem,subproblem_id,dataset_id,num_boost_round
104,Permutation (perm_round = 5),0.31466666666666665,8.56922721862793,classification,1,2,64
105,TotalGain-oob (Saabas),0.6266666666666667,0.05202746391296387,classification,1,3,1
106,TotalGain-oob (Shap),0.6053333333333335,0.10526871681213379,classification,1,3,1
107,TotalGain,0.8026666666666668,0.42350316047668457,classification,1,3,1
108,TotalGain (Shap),0.808,0.05861783027648926,classification,1,3,1
109,Permutation (perm_round = 5),0.3786666666666667,3.71248459815979,classification,1,3,1
110,TotalGain-oob (Saabas),0.9333333333333332,0.2618105411529541,classification,1,3,2
111,TotalGain-oob (Shap),0.9866666666666667,0.1967167854309082,classification,1,3,2
112,TotalGain,0.8533333333333333,0.39153337478637695,classification,1,3,2
113,TotalGain (Shap),0.8346666666666667,0.08594346046447754,classification,1,3,2
114,Permutation (perm_round = 5),0.010666666666666647,3.2885947227478027,classification,1,3,2
115,TotalGain-oob (Saabas),0.8133333333333335,0.9439551830291748,classification,1,3,4
116,TotalGain-oob (Shap),0.9306666666666666,0.9424128532409668,classification,1,3,4
117,TotalGain,0.8853333333333333,0.5712435245513916,classification,1,3,4
118,TotalGain (Shap),0.992,0.1522207260131836,classification,1,3,4
119,Permutation (perm_round = 5),0.4373333333333334,5.231499671936035,classification,1,3,4
120,TotalGain-oob (Saabas),0.7706666666666666,0.6792724132537842,classification,1,3,8
121,TotalGain-oob (Shap),0.8320000000000001,8.750853300094604,classification,1,3,8
122,TotalGain,0.9413333333333334,1.032132863998413,classification,1,3,8
123,TotalGain (Shap),0.9973333333333334,0.28836607933044434,classification,1,3,8
124,Permutation (perm_round = 5),0.21866666666666662,3.6063458919525146,classification,1,3,8
125,TotalGain-oob (Saabas),0.8266666666666667,5.828728914260864,classification,1,3,16
126,TotalGain-oob (Shap),0.8453333333333333,0.7399032115936279,classification,1,3,16
127,TotalGain,0.952,1.9756219387054443,classification,1,3,16
128,TotalGain (Shap),0.9866666666666667,0.5932788848876953,classification,1,3,16
129,Permutation (perm_round = 5),0.20533333333333334,3.5814871788024902,classification,1,3,16
130,TotalGain-oob (Saabas),0.848,1.351745367050171,classification,1,3,32
131,TotalGain-oob (Shap),0.8773333333333333,1.1155822277069092,classification,1,3,32
132,TotalGain,0.8426666666666667,7.880539894104004,classification,1,3,32
